"","Var.2","F2.hiPSC","F3.hiPSC","F3 D3 noDNMTi iOLC.1","F3 D3 noDNMTi iOLC.2","F3 D3 noDNMTi iOLC.3","F2 D3 iOLC","F3 D3 iOLC","PGP1 D3 iOLC","F3 D3+ANHX iOLC","PGP1 D3+ANHX iOLC","F3 D3+ZGLP1 iOLC","PGP1 D3+ZGLP1 iOLC","F3 D3+ARV7 iOLC","PGP1 D3+ARV7 iOLC","F3 D3+ZGLP1+ARV7 iOLC","PGP1 D3+ZGLP1+ARV7 iOLC","F3 D5+ARV7 iOLC","PGP1 D5+ARV7 iOLC","F2 D5 iOLC","F3 D5 iOLC.1","F3 D5 iOLC.2","PGP1 D5 iOLC","PGP1 D5 iOLC.2","F2 D5 reset iOLC","F3 D5 reset iOLC","PGP1 D5 reset iOLC","F2 D5 unsorted","F3 D5 unsorted","PGP1 D5 unsorted","hESC.1","hESC.2","Soma.wk7F.1","Soma.wk7F.2","Soma.wk7F.3","hPGC.wk7F.1","hPGC.wk7F.2","hPGC.wk9F.1","hPGC.wk9F.2","Fetal.Ovary.wk19.1","Fetal.Ovary.wk19.2","Fetal.Ovary.wk19.3","iPSC.M.1","iPSC.M.2","iPSC.M.3","iMeLC.M.1","iMeLC.M.2","iMeLC.M.3","d6PGCLC.M.1","d6PGCLC.M.2","d6PGCLC.M.3","xrOvary.M.d7.1","xrOvary.M.d7.2","xrOvary.M.d21.1","xrOvary.M.d21.2","xrOvary.M.d35.1","xrOvary.M.d35.2","xrOvary.M.d49","xrOvary.M.d63.1","xrOvary.M.d63.2","xrOvary.M.d77.1","xrOvary.M.d77.2","xrOvary.F.d77.1","xrOvary.F.d77.2","xrOvary.F.d120.DDX4neg","xrOvary.F.d120.DDX4.1","xrOvary.F.d120.DDX4.2","xrOvary.F.d120.DDX4.TFAP2Cneg"
"LHX8",10778,0,0.879495939,4.58515383,6.18402338,6.021283282,8.961251357,9.710529705,8.820826297,9.077099216,8.938181616,8.683240066,6.882196794,8.594630063,8.27040609,9.450343824,8.987666282,9.350262201,9.187395947,7.309201925,8.848089522,8.74050852,9.37552805,9.330752535,7.731994645,9.416458865,9.415435841,4.846583711,6.01774764,7.548913251,0.422116858,0,0.677674888,0,0,0,0,0,0,4.876275509,4.881895864,5.22298393,0,0,0,0,0,0,0,0,0,0,0,2.649667836,0,0,0,0,0,0,0,0,0,0,0,0,1.95607136,4.179743813
"ZNF281",10801,9.24829603,9.009839942,8.586909526,7.732720528,7.839202346,10.22040135,11.12372929,10.19915776,11.14392216,10.9322529,10.66295305,9.758008284,10.80595767,10.20092031,11.17541891,10.80791836,11.13778555,11.12751456,9.922505584,10.65056487,10.05810492,11.04987384,10.27462405,9.874195369,10.7146982,10.57584865,8.521945059,8.8986886,9.76989605,8.092301026,8.104778027,7.16987492,7.381141771,6.845978082,6.656814155,7.174684945,7.349510641,7.576856822,6.446279565,6.471398108,6.495365739,9.154730672,9.059828771,8.225928175,8.334689144,8.687518442,8.320855072,7.651874308,7.168180477,6.465535387,7.271026941,6.103311867,7.763440394,6.795687179,5.91140065,6.8135827,7.253467719,7.122245953,7.265969228,7.771165902,7.631421196,7.396279938,7.383799469,7.265661628,7.016874046,6.860485901,7.53859695
"SOHLH1",11643,0,0,7.127347598,4.175772675,0,7.442107894,8.724019018,8.918526706,8.345104886,8.85858486,7.932219637,7.579479009,8.939212403,8.921592722,7.739694382,8.340750754,8.71808333,8.31332645,5.585602586,7.337020388,7.026256475,8.789734701,8.397410978,6.77075391,8.275071515,8.858159297,3.730972487,4.33569141,7.032672541,0,0,0,0,0,0.857752691,0,0,1.40125964,4.876275509,5.136752091,5.089338022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.646180888,4.429449153
"ZGLP1",23775,0.594003588,0.588650548,2.525888277,2.968872816,4.354973618,2.349984712,1.247393053,2.556714725,1.396795275,2.369876193,7.244045743,7.173142218,2.322121481,1.355459694,6.475666192,6.378246066,5.416498739,6.038225471,5.862569405,6.217342992,6.196748753,5.432276375,5.688256779,6.029245731,6.707568482,5.252235362,2.505219272,2.41275256,3.653063581,2.994179379,2.606997501,3.086528508,3.251891437,2.52396866,1.693135113,2.253832439,1.902003987,2.447582933,4.644171014,4.348346696,4.301957684,0,2.985119799,0,0,0,0,0,2.449775772,0,2.653402487,0,0,2.642182871,2.568596855,0,0,0,2.359739825,3.569557928,0,0,3.027799387,0,0,1.95607136,4.179743813
"ANHX",27158,0,0,0,0,0,2.184083233,0.986603535,1.807927185,7.805827987,8.105875054,1.636719836,3.141600084,1.551569202,1.776010798,0.351947258,0,7.80605868,6.828344306,7.392519899,7.494582836,7.271606133,8.174149508,7.274632533,8.72660188,8.009193857,8.150251808,4.279255114,3.386907991,5.68487007,0,0,0,0,0,2.866839211,4.007009413,4.217002296,6.784832207,7.951876264,7.710862842,8.039746086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.032872561,2.359739825,5.071146975,5.338307109,5.088340441,6.619366105,6.11495146,6.815027544,7.66251008,9.400117752
"POU5F1",19900,11.63192432,11.67766346,8.729878516,2.968872816,4.848239846,3.410921896,3.080574154,2.983421794,2.24983012,2.429853491,2.242551972,3.388519735,2.82170664,2.460260425,1.911814701,0.896246097,0.958778085,1.083857044,1.304169695,0.69042674,1.831305224,1.041874385,2.168757252,1.119580669,2.142988351,1.754266058,1.607078559,2.258302264,1.122759033,8.265627453,8.250815163,0.677674888,1.078681522,1.23732267,8.433729402,7.968623928,7.663768481,6.636323866,7.428876551,7.472530814,7.589886921,10.52498071,10.06780562,10.23468307,11.21834439,11.06551008,10.61271376,12.10604039,11.90164312,12.02605255,11.63534968,12.00614883,11.69887546,11.78519668,12.01857667,11.64005549,11.34290883,11.10916307,11.01359411,9.766204226,9.770551093,11.17814534,10.87107151,11.07302396,10.38455178,10.08965565,5.710634845
"NANOS1",16744,1.072973147,1.780404169,2.061034043,4.823595092,4.538779013,2.607636906,5.478300261,4.124137568,5.653101212,5.102311346,5.946988132,5.655958539,5.10947999,5.046216861,6.63654592,6.876643737,6.378391026,6.504613726,5.090084986,5.712407427,5.257074035,5.250261696,4.087680633,5.084795753,4.48454967,5.193897791,4.518856588,5.186265299,4.85152835,4.070817264,3.977301813,4.128284593,4.443559733,3.438644683,3.282631343,3.919869735,3.481193981,3.202669246,3.924579016,3.338440417,4.380350766,5.254314274,4.841552666,5.97126384,5.811807356,5.357080592,6.458367467,6.473384443,6.695662214,6.297649574,5.752613015,5.124145026,5.748253997,4.766265217,6.228526789,6.015815142,6.216212287,5.706784106,5.255311915,6.977672891,6.470562545,5.275674957,5.714813158,4.756069082,5.490651816,5.557061808,4.991919177
"NANOS3",16474,0,0,2.71204379,4.425441104,0,1.826811863,2.116747124,1.807927185,0.652239632,1.462238119,0.72168029,1.613162281,0.633958054,0.759406364,0.186679368,0.453220349,0.130095707,0.291531779,0.316032883,0.167039495,0.191744328,0.436126613,1.458476258,0.983579251,0.464291831,0.720130353,0.908431952,1.057431745,0,0,0.233394912,1.136926008,1.078681522,0,7.719416603,7.757100815,6.366899578,5.595856725,5.582548629,5.182734393,5.345292235,0,0,0,0,0,0,9.478978595,9.535099918,8.867247434,10.67602002,10.81089723,9.868383235,10.01377315,9.940360636,9.539605033,8.877817816,9.060110781,8.708775467,7.15322926,6.899298078,8.772627379,8.481198968,8.487052893,8.619417329,8.425109746,5.508416026
"PRDM1",776,0,0,1.370960149,6.953339438,6.659602948,4.07372982,4.594772016,4.821559564,5.151426065,5.234310934,4.037045069,4.486447506,4.2741052,4.658085075,4.005164161,4.318083179,3.688197543,5.055162281,4.890135615,4.260576677,3.844136456,5.139051765,5.40203764,4.679739041,5.366036682,5.268478952,4.692006149,4.256292851,4.760441213,2.191836558,2.647991942,3.732375031,1.311971884,2.135539838,8.54222164,8.791837831,9.396163946,9.244714528,5.795918988,5.939875793,5.891859608,2.748084576,2.985119799,0,5.239629553,3.635144258,3.953189391,8.813902157,8.537043179,8.012709666,9.288626668,9.029794713,9.209028087,9.06544581,8.554037972,8.965859187,9.060673829,8.914547415,8.318424838,9.173040338,8.750337631,8.371588861,8.084720539,8.082040003,7.290569797,7.41719711,5.273158981
"SOX17",11423,0,0,0.842547032,4.175772675,6.195595842,1.149506749,1.247393053,0.440783452,0.49394449,1.771299464,1.20050637,1.160616901,0.975027768,0.429103832,0.351947258,0,1.97282322,0.741417204,0.794692695,0.894732492,0.649454771,0.234481065,0.182025261,2.07905539,4.245619272,1.198281499,2.4289521,2.08531241,0.83599427,0.594393947,1.462565852,2.291938969,1.311971884,0.74743297,6.757718579,7.167609945,5.976838787,6.123107601,5.076161976,4.083336469,4.77796549,1.948272986,0,0,3.349862834,5.711807348,4.9058501,9.300647693,9.543753135,9.389868846,8.495141676,8.912988526,8.532418063,8.481829079,8.394024809,8.220581771,8.248732438,8.361359308,7.98356056,8.469063302,8.203266201,7.95800259,7.733402884,7.774360606,7.193915358,7.367740208,5.969070468
