Genes,Ensembl,Partition
LHX8,ENSG00000162624,TF_Control
ZNF281,ENSG00000162702,TF_Control
SOHLH1,ENSG00000165643,TF_Control
ZGLP1,ENSG00000220201,TF_Control
ANHX,ENSG00000227059,TF_Control
POU5F1,ENSG00000204531,PGCLC
NANOS1,ENSG00000188613,PGCLC
NANOS3,ENSG00000187556,PGCLC
PRDM1,ENSG00000057657,PGCLC
SOX17,ENSG00000164736,PGCLC
CD38,ENSG00000004468,PGCLC
TFAP2C,ENSG00000087510,PGCLC
DMRT1,ENSG00000137090,PGCLC
SUSD2,ENSG00000099994,PGCLC
TFCP2L1,ENSG00000115112,PGCLC
DPPA3,ENSG00000187569,PGCLC
DDX4,ENSG00000152670,Oogonia
DAZL,ENSG00000092345,Oogonia
STK31,ENSG00000196335,Oogonia
MAGEB1,ENSG00000214107,Oogonia
MAGEB2,ENSG00000099399,Oogonia
MAGEB10,ENSG00000177689,Oogonia
PIWIL1,ENSG00000125207,Oogonia
PIWIL2,ENSG00000197181,Oogonia
MAEL,ENSG00000143194,Oogonia
MSX1,ENSG00000163132,Oogonia
MEIS1,ENSG00000143995,Oogonia
TKTL1,ENSG00000007350,Oogonia
PAX6,ENSG00000007372,Oogonia
SPOCK3,ENSG00000196104,Oogonia
DLK1,ENSG00000185559,Oogonia
ZIC1,ENSG00000152977,Oogonia
OOEP,ENSG00000203907,Oogonia
ASB9,ENSG00000102048,Oogonia
ZCWPW1,ENSG00000078487,Oogonia
NOBOX,ENSG00000106410,Oocyte
GDF9,ENSG00000164404,Oocyte
BMP15,ENSG00000130385,Oocyte
NPM2,ENSG00000158806,Oocyte
ZP3,ENSG00000188372,Oocyte
GRIK2,ENSG00000164418,Oocyte
NLRP4,ENSG00000160505,Oocyte
PRDM9,ENSG00000164256,Meiosis
CTCFL,ENSG00000124092,Meiosis
STRA8,ENSG00000146857,Meiosis
REC8,ENSG00000100918,Meiosis
SYCP1,ENSG00000198765,Meiosis
SYCP2,ENSG00000196074,Meiosis
SYCP3,ENSG00000139351,Meiosis
SPO11,ENSG00000054796,Meiosis
SYNE1,ENSG00000131018,Meiosis
SYNE2,ENSG00000054654,Meiosis
SYNE3,ENSG00000176438,Meiosis
HORMAD1,ENSG00000143452,Meiosis
HORMAD2,ENSG00000176635,Meiosis
TEX11,ENSG00000120498,Meiosis
TEX12,ENSG00000150783,Meiosis
RAD21L1,ENSG00000244588,Meiosis
FAM9C,ENSG00000187268,Meiosis
SMC1B,ENSG00000077935,Meiosis
SPATA22,ENSG00000141255,Meiosis
SYCE2,ENSG00000161860,Meiosis
DMRTB1,ENSG00000143006,Meiosis
DMC1,ENSG00000100206,Meiosis
MEIOC,ENSG00000180336,Meiosis
MEIOSIN,ENSG00000237452,Meiosis
BEND2,ENSG00000177324,Meiosis
